Accounting,||,ACCT352,ACCT402,ACCT451,ACCT461,ACCT495,ACCT499,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Applied Physics,||,PHYS401,PHYS404,\||,||,MATH140,MATH148,MATH240,MATH250,MATH320,\||,n6,ENGR211 & ENGR211L,MATH350,MATH355,>=PHYS300,\n6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biochemistry,||,MATH140,MATH148,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology,>=MATH130,n21 o3-200,BIOL301,BIOL301L,BIOL307,BIOL307L,BIOL315,BIOL315L,BIOL319,BIOL326,BIOL405,BIOL409,BIOL409L,BIOL411,BIOL412,BIOL412L,BIOL420,BIOL420L,BIOL450,BIOL450L,BCHM410,BCHM414,BCHM414L,BCHM 395,BCHM415,BCHM415L,\n21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Biology- Cellular, Molecular, Physiological",n15,BIOL301,BIOL301L,BIOL307,BIOL307L,BIOL315,BIOL315L,BIOL319,BIOL326,BIOL405,BIOL409,BIOL409L,BIOL411,BIOL412,BIOL412L,BIOL420,BIOL420L,BIOL450,BIOL450L,BCHM410,BCHM414,BCHM414L,BCHM414L,BCHM415,BCHM415L,\n15,n6 o3-200,>=BIOL200,\n6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology- Enviornmental,>=MATH130,n15,BIOL306,BIOL306L,BIOL308,BIOL308L,BIOL403,BIOL403L,BIOL407,BIOL407L,BIOL435,BIOL435L,BIOL450,BIOL450L,BIOL454,CHEM465,CHEM440,\n15,n6 o3-200,>=BIOL200,\n6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology- Integrative,>=MATH130,n21 o3-200,BIOL211,BIOL211L,BIOL212,BIOL212L,BIOL213,BIOL213L,BIOL391W,BIOL491W,CHEM103,CHEM103L,CHEM104,CHEM104L,CHEM121,CHEM121L,CHEM122,CHEM122L,CHEM321,CHEM321L,CHEM322,CHEM322L,BIOL391W,\n21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biology- Organismal,>=MATH130,n15,BIOL310,BIOL310L,BIOL312,BIOL312L,BIOL403,BIOL403L,BIOL409,BIOL409L,BIOL425,BIOL425L,BIOL440,BIOL440L,BIOL445,BIOL445L,BIOL457,BIOL457L,BIOL465,BIOL465L,\n15,n6 o3-200,>=BIOL200,\n6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chemistry,||,MATH140,MATH148,\||,>=CHEM300,>=CHEM300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communication Studies,||,COMM318,COMM333,COMM350,COMM370,\||,||,COMM411,COMM433,COMM455,\||,n15 o3-200,>=COMM200,\n15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Engineering,||,ECON201,ECON202,\||,||,MATH140,MATH148,\||,n6,CPEN422,CPEN495,CPSC360,CPSC425,CPSC428,CPSC440,CPSC450,CPSC470,CPSC471,CPSC472,CPSC475,CPSC480,CPSC495,PHYS421,PCSE495,CPSC501,CPSC502,\n6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computer Science,||,MATH140,MATH148,\||,|&,PHYS151,PHYS151L,PHYS152,PHYS152L,|,PHYS201,PHYS201L,PHYS202,PHYS202L,\&|,||,PHYS340,ENGR340,MATH235,MATH260,\||,s3,CPSC425,CPSC428,CPSC440,CPSC450,CPSC460,CPSC470,CPSC471,CPSC475,CPSC480,CPSC485,CPSC495,>=CPSC500,MATH380,PHYS421,PHYS441,\s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Econimics- Mathematical Economics,>=ECON300,>=ECON300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Economics,s5,ECON400,ECON425,ECON465,ECON470,ECON475,>=ECON300,\s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrical Engineering,||,ECON201,ECON202,\||,||,MATH140,MATH148,\||,||,MATH250,MATH335,ENGR213,\||,n12,CPEN315,CPEN315L,CPEN414,EENG421,CPEN422,EENG461,EENG481,\n12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English,||,ENGL309W,ENGL326W,ENGL350W,ENGL351W,ENGL352W,ENGL353W,ENGL365W,ENGL454W,\||,||,ENGL421,ENGL423,\||,s6,>=ENGL300,\s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English- Literature,||,ENGL309W,ENGL326W,ENGL350W,ENGL351W,ENGL352W,ENGL353W,ENGL365W,ENGL454W,\||,||,ENGL421,ENGL423,\||,s6,ENGL304W,ENGL313,ENGL315,ENGL316,ENGL320,ENGL324,ENGL329,ENGL341,ENGL342,ENGL343,ENGL345,ENGL346,ENGL356W,ENGL372,ENGL373,ENGL374,ENGL376,ENGL380,ENGL381,ENGL393,ENGL395,ENGL410,ENGL412,ENGL415,ENGL416,ENGL428,ENGL429,ENGL476,ENGL495,\s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
English- Writing,||,ENGL309W,ENGL326W,ENGL350W,ENGL351W,ENGL352W,ENGL353W,ENGL365W,ENGL454W,\||,||,ENGL421,ENGL423,\||,s6,ENGL250,ENGL309W,ENGL331,ENGL339W,ENGL339L,ENGL350,ENGL351W,ENGL352W,ENGL353W,ENGL365W,ENGL450,ENGL452W,ENGL453,ENGL454W,ENGL462,ENGL491,ENGL499,\s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enviornmental Studies,||,CHEM103,CHEM121,\||,s4,ANTH325,ANTH331,CHEM104,CHEM104L,ECON301,EVST395,GEOG211,GEOG308,HIST342,HIST343,POLS391,RSTD337,RSTD338,PHYS142,\s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance,||,FINC424,FINC454,FINC495,FINC499,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine and Performing Arts- Art History,||,FNAR371,FNAR377,\||,||,FNAR373,FNAR379,\||,||,FNAR374,FNAR375,FNAR380,FNAR381,FNAR395,FNAR403,\||,||,FNAR117,FNAR118,FNAR121,FNAR128,FNAR204,FNAR205,FNAR224,FNAR226,FNAR227,FNAR241,FNAR251,FNAR252,FNAR322,FNAR324,FNAR326,FANR327,FNAR331,FNAR332,FNAR333,FNAR334,FNAR341,FNAR351,FNAR352,FNAR401,FNAR402,FNAR488,\||,s5,FNAR375,FNAR378,FNAR380,FNAR381,FNAR395,FNAR490,CLST311,CLSE312,FNAR374,\s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fine and Performing Arts- Studio Art,s4,FNAR322,FNAR324,FNAR326,FANR327,FNAR331,FNAR332,FNAR333,FNAR334,FNAR341,FNAR351,FNAR352,FNAR401,FNAR402,FNAR488,\s4,s2,FNAR117,FNAR118,FNAR121,FNAR128,FNAR204,FNAR205,FNAR224,FNAR226,FNAR227,FNAR241,FNAR251,FNAR252,\s2,s2,FNAR201,FNAR202,FNAR204,FNAR371,FNAR372,FNAR373,FNAR374,FNAR375,FNAR376,FNAR377,FNAR378,FNAR379,FNAR380,FNAR381,FNAR395,FNAR403,FNAR490,CLST311,CLST312,\s2,||,FNAR371,FNAR377,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- Classical Languages,n24 o9-200,>=LATN200,\n24,s4,>=CLST100,>=GREK100,\s4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- Classical Studies,s7,CLST301,CLST302,CLST311,CLST312,CLST313,CLST414,CLST415,POLS340,POLS357,HIST301,HIST302,HIST303,HIST312,HIST403,HIST415,\s7,||,>=GREK100,>=LATN100,COMM249,FNAR201,POLS340,POLS357,HIST301,HIST302,HIST303,HIST312,HIST403,HIST415,PHIL201,\||,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- French,||,MLAN203,MLAN205,MLAN206,MLAN207,\||,||,FREN302,FRN308,\||,s2,FREN301,FREN303,FREN314,\s2,||,FREN390,FREN353,FREN354,\||,s2,MLAN308,>=FREN300,\s2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- German,||,MLAN203,MLAN205,MLAN206,MLAN207,\||,||,GERM302,GERM308,\||,||,GERM351,GERM352,\||,s3,MLAN308,>=GERM300,\s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foreign Language and Literatures- Spanish,||,MLAN203,MLAN205,MLAN206,MLAN207,\||,s2,SPAN301,SPAN303,SPAN314,SPAN321,\s2,||,SPAN302,SPAN308,\||,s2,SPAN351,SPAN352,SPAN353,SPAN354,\s2,||,SPAN471,SPAN472,SPAN473,\||,s3,MLAN308,>=SPAN300,\s3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
History,s2,HIST304,HIST305,HIST324,HIST325,HIST327,HIST336,HIST341,HIST342,HIST346,HIST348,HIST349,HIST350,HIST351,HIST352,HIST354,HIST355,HIST356,HIST357,HIST358,HIST407,HIST435,HIST443,HIST446,HIST480,HIST485,HIST489,\s2,s2,HIST301,HIST302,HIST303,HIST306,HIST308,HIST313,HIST317,HIST320,HIST321,HIST326,HIST329,HIST338,HIST339,HIST379,HIST380,HIST408,HIST415,HIST423,HIST432,\s2,s2,HIST312,HIST335,HIST343,HIST347,HIST360,HIST364,HIST367,HIST368,HIST370,HIST375,HIST376,HIST382,HIST389,HIST403,HIST405,HIST413,HIST462,HIST466,HIST479,\s2,>=HIST300,>=HIST300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Information Science,||,MATH135,MATH140,MATH148,MATH235,MATH260,\||,n12,CPSC336,CPSC428,CPSC429,CPSC255,CPSC280,CPSC480,BUSN305,CPSC336,CPSC441,\n12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interdisciplinary Studies,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
